0
GV로 다녀왔습니다. 개봉하면 꼭 다시 보고 싶어요 . 가능하면 영화보기 전에 소설을 먼저 읽고 가시면 좋습니다  
원작의 내용과 여주인공의 기대감  
시얼사 로넌이라니 무조건 봐야지  
"이 영화 정말 섬세하고 연출이 대박 멋지다! 배우, 패션, 음악, 배경 다 소중하게 느껴지는. 한 장면도 놓치고 싶지 않은 아름다운 영화.  "
아련한 기억을 떠올리게 하는 음악 영화  
여운이 강하게 남는 엔딩과 두 남녀의 감정들.. 음악도 좋음  
GV 에서 봤는데 너무 좋았습니다. 기대안했는데 음악이 좋은 영화였어요.  
영화와 잘어울리는 음악들이 인상적이고 가을에 보면 좋을 멜로영화 괜찮았네요  
개봉전 평점: 10.0
전체 댓글수: 8
