0
오 !  1편도 재밌었는데...   기대 만땅 !  
유역비짱! 가장 이쁘고 청순함!!!  
완전 기대된다!! 유역비 짱!  
이제 더이상 네이버 영화평점은신뢰성이 없다 .. 아니 .. 예전부터 쉣 ~ 알바들 퍽 ~!!  
사대명포 1편 볼만해서 믿고 보는 사대명포2. 그리고 유역비 ㅎㅎ  
10점 만점에 1점~!  
스케일도 크고 정말 이 영화 나오길 기대하고있습니다. 그리고 유역비 이쁨  
전편보다 더 화려할 것 같은 기대감에 9점!  
2014 기대작...  
생각보다 너무 실망했다  
4부까지 다  국내개봉 했으면 좋겠네요 ~ 기대하고 기다리겠습니다 ~~ 유역비 :)  
개봉전 평점: 7.45
전체 댓글수: 11
