0
별점테러  극혐....  
그냥 재미없을거같아서  
"이탈리아판 사랑과 전쟁. 결혼과 사랑, 연애를 제대로 알고 보여주는 영화.  "
지루한 수면제..  
개봉전 평점: 5.00
전체 댓글수: 4
