0
개봉작은 기대덧글이 안올라가나요?  
로만폴란스키 감독의 신작이라 기대가 큼니다.  
다 내가 좋아하는 배우들과 감독이네  
최고의 감독 최고의 배우들이 다 뭉쳤네  
캐스팅이다 오스카배우  
2012년ㅠㅠㅠ 아직 멀었네요....빨리 보고싶어요 !  
감독에다 출연진ㄷㄷㄷㄷ..꼭 봐야 할 작품이군요  
개봉전 평점: 9.50
전체 댓글수: 7
