0
미국 애들은 이런거 잊을만하면 꼭 만들더라 ㅋㅋㅋㅋ  
이거 무서운 영화 씨리즈 같은 페러디물 아닌가? 짭이 아니라 ㄱ-;;  
워킹데드 짭느낌  하...  
B급치곤 괜찮을거같은데?  
그래도 그전 시리즈 보았는대 그래도 괜찬은거 같아요 기대됍니다.  
워킹위드데드래 ㅋㅋㅋ난가운데꺼못봣다 ㅋㅋ와나 비슷하게입엇네 ㅋㅋ멀리서보면 비슷함 이미지가 포스터도 똑같고만 진짜 개재미없겟다  
감독의 훤히보이는 수작ㅋㅋ  
개봉전 평점: 4.86
전체 댓글수: 7
