0
공포영화 흥해라! 이번해 한국 공포 영화들 다 재밌던데 이것도 재밌어보여요~  
한국 공포영화가 요즘 찾기 힘든데~간만에 보는 한국공포영화네요!! 예고편 봤는데 재밌을 것 같아요~  
오 재희의 공포영화! 기대되요~ 얼른 개봉했으면!!  
와 대박! 여름 가기 전에 개봉하면 좋았을텐데! 재희 화이팅!  
뭔놈의 한줄평들이 죄다 블로그댓글같냐 ㅋㅋ 알바티도 적당히내야지  
일반 국뽕영화보다 훨씬낫다!  
휴게소는  망향 휴게소~  
요새 공포영화 볼거 없어서 고민했는데 하나 생겼네요 너무 기대된당ㅎㅎㅎ  
기대기대됩니다 굳굳^^^  
예고 보고 기대중 ㅎㅎㅎ  
목빠집니다 빨리 나왔으면  
개봉후 댓글이 가장 기대됨ㅋㅋ  
재희 배우 안보인지 오래되서 머하고사나 했더니.. 참 많이 추락했네.. 이런 -C급 영화나 하다니... 애혀..  
개봉전 평점: 8.31
전체 댓글수: 13
