0
그냥 야동봐 ㅡㅡ. 꼴에 반전있고 여주인공 이뻐서 이정도 점수를 주노라  
난 재밌었는데?  
...재미없어 컬쳐쇼크임  
개봉전 평점: 4.67
전체 댓글수: 3
