0
베를루스코니 얼굴에서 뿜었다  최고  
< 유스 >도 참으로 놀라운 작품이였는데 이번 < 그때 그들 >은 마라톤때문에 부국제에서 놓쳐 아주 아쉬워했습니다...ㅠ 인터네셔널 버전으로 재편집한 상영작으로 나온다니 정말 놀랍네요! 꼭 봐야겠습니다 ;)  
그레이트 뷰티 이후 명성을 얻었지만 감독의 날은 조금도 무뎌지지 않았다!  
믿고보는 파올로 소렌티노  
개봉전 평점: 9.25
전체 댓글수: 4
