0
으앙 틸크횽아... 맥가이버아저씨랑 외계인들 10년넘게 무찌르고 다니느라 고생했는데 또...ㅠㅠ  
3 류영화 인데 왜 평점이 높지  
드래곤 나와서 보러가야징 ~  
제목이 정말 끝내준다..  
"ㅋㅋ오, 재밌을것같음요~!!!!  "
우왕 재밋을꺼같아요!!ㅎ  
"명감독 ""심형래 감독""의 수작 ""티라노의 발톱""이 생각나네....ㅡㅡ;;;  "
개봉전 평점: 8.00
전체 댓글수: 7
