0
부산국제영화제에서 봤었는데 불현듯 생각나 남깁니다 정말 너무너무 재밌어서 극장에서 모두들 빵빵터지면서 보던 영화였어요 꼭 국내수입되서 다시볼수 있었으면 좋겠네요 예쁜 그리스 풍경은 덤!!♡  
포스터에는 10월 6일 개봉이라고 돼있는데 왜 아무데서도 상영을 안하나요...ㅜㅜㅜ  
이런 우정기 좋네요. 그리스 배경이라니 보는 것만으로 힐링될 듯~ 기대되는 영화입니다! <언터처블> 진짜 재미있게 봤었는데 왠지 비슷할 것 같은 영화!  
접속무비월드에서 봤는데 재밌을거 같아요  관심작 등록 가끔 이런영화보면  편하게 힐링될듯  
힐링 가득한 그리스의 파란 하늘과 우스꽝 스러운 두 주인공의 모습이  포스터만 봐도 벌써 웃기네요! 너무 기대가 되요!  요즘 같이 명절 후에 일상으로 돌아가기 스트레스 받을 때 보기 딱 좋을 영화!  
불편하다 책임감없는 채무자 그리스인들 그들의 무책임함이 불편하다 ~ 배척 이란 말을 정당한 채무관계를 유지하고 싶은 독일인을 악함으로 표현하는게 감독의 그리스의 무책임함을 비난하고 싶은 진짜 마음이 아닐까 pig 는 어디서 툭 튀어나온 약자가 아니듯  
따뜻한 사람들에 물들어 웃고있는 나!!  
Highway to Hell  
오디세우스~오디세우스~ 마지막 장면 그의 매력에 풍덩. 귀엽고 유쾌한 힐링영화  
".,.,.,.,.,.,  "
재밋고 감동적인 영화네요  
정말 이런곳서 살고싶다 ^^  
생각보다 재미없는 다소 싱거운 힐링  
개봉전 평점: 8.69
전체 댓글수: 13
