0
포스터만 봐도 뻔하다.  
RBG!RBG!RBG!RBG!RBG!  
Notorious RBG  
레이디 루스 베이더 긴즈버그 - 멋짐다! 강추!!!  
개봉전 평점: 6.75
전체 댓글수: 4
