0
여자 출연자들 예쁜애를 써야 밥값이라도 하지 그런 법칙도 모르는 감독들이 영화를 찍어대기만 하니까 문제  
플레이보이tv에 전편있어요 볼사람거기서보시는ㄱ게 빠르고좋을듯 영화본은 8개 그냥 1시간분으로 압축해둔거  
성인배우  신체조건 처지는순간 노출꺼리는구나  결혼해서  애나 키우지  
영화다운영화를 만들려면 배우같은배우를 데리고 만들길....  
복장은 바꾸고 임했으면 어떨가 싶음...  
20분이면 끝날내용 77분으로 연장  
이채담으로 시작해서 이채담으로 끝나는 영화  
레즈좀 만들의줘바요  김아중씨 하고싶으시다는데 ㅜ  
개봉전 평점: 3.62
전체 댓글수: 8
