0
최홍준 배우 아직  신인이지만 마이너클럽에서부터 좋은연기 지켜보고있습니다.  
마 장애인도 성욕있다 아이가?  
장애인의 현실을 과감히 비춘 용기있는 영화  
수고 많으셨습니다. 감독님. 부족한 저의 영화 스승님. 언제나 응원드립니다.  
"이상우 감독 초기작, 엄마는 차ㅇ녀다의 깊이감이 생각나는 더티로맨스..  "
상우는 그만하지 않습니다.  
이상우 감독 특유의 진하게 풀어내는 이야기들을 이번엔  어떻게 풀어냈을지 궁금하네요 기대됩니다  
"오아시스의 혐오버젼, 상우야 그만해라.  "
기대되네요..더티로맨스  
개봉전 평점: 8.11
전체 댓글수: 9
