0
쭝꿔~ ㅇㅂㅇ 짱깨  
홍금보의채리불권이아니라 홍금보의돼지새끼지 ㅋㅋㅋㅋㅋㅋㅋ  
금보형님 신작이네요~꼭 보고 싶습니다！  
홍금보 젊을때는 괜히 밉상이었는데 나이 들수록 멋있어진다. 카리스마가 엄청남.  
바야흐로 남파무술의 중흥기인가?  
개봉전 평점: 7.75
전체 댓글수: 5
