0
3류영화의 완성은 톰 시즈모어의 출연!  
모든 면에서 너무 어설픈 영화..내 일요일 밤 시간을 돌리고픈...날 로그인하게 만들었어...평생 처음 평점달게 만들었네요...  
전형적인 3류영화 보는기분 .. 보는 내내 아 이게뭐지.. 이게뭐지.. 하면서 본영화 ..  
이 시나리오는 삼류감독이 맡지 말았어야 했다  
1점도 아깝다 궁서체다  
대체 무슨 액션이 있다는 거죠? 총 쏘는 장면 약간 외에는...완전 재미 없어요...진짜 시간 아까움...  
나만 당할 순 없다. 평점을 올리자!  
"소재는 좋으나, 마치 90년대 초 영화를 보는듯한 기분...  "
스토리 액션 괜찮음ㅎㅎ  
개봉전 평점: 3.78
전체 댓글수: 9
