0
안드레아형 날가져요... 흑흑  
징짜 좋네여 ㅎ  
좋아요 정말 정말 좋아요  
로맨틱~환타스틱~퍼펙트한 최고의 공연이에요!!!  
이거 블루레이는 안나올까요? 해외엔 있을래나?  
투스카니 공연보다는 못해도최고의 공연이네요~  
개봉전 평점: 9.67
전체 댓글수: 6
