0
D급 볼필요없음 시간낭비  
보다 끔 B급도 안됨 ㅅㅄㅄㅂ  
개콘 대용으로 생각하면 됩니다. 유치하고 조잡하고 재미없고  
개봉전 평점: 1.00
전체 댓글수: 3
