0
김영재님 팬이라는 사심에 십점.. 이기도 하지만 .. 사실 절대 겪어보지 않고선 모르는 일들이 있지요.. 동성애라는 어쩌면 위험한 소재에.. 선생님과 제자.. 하지만 그런 경험이.. 혹은 그럴 수도 있겠단 이해.. 영화가 참 담백합니다.  
저는 영화 너무 맘에 들었습니다. 특히 마지막 장면이 특히 맘에 들고 그 부분의 느껴지는 현실감도 그렇고 배우들 연기도 모두 좋았어요.  
37분짜리 영화도있었구나 기대합니다  
기대중 현실적이었음 좋겠는데..  
ㅎㅎ  
게이물이구나  
개봉전 평점: 6.67
전체 댓글수: 6
