0
제이미 도넌! 그 하나로 호기심이 생김  
15회 광주국제영화제 폐막작 이였습니다. 전체적인 구성도 좋고 배경도 여행하는 느낌으로 잘 그려냈구요. 전체적으로 여윤이 많이 남내요.  
잔잔한 감동이 좋았어요  
영특한 비둘기...멋진 남자 주인공...밋밋한 내용...  
마음을 이어주는 전령사가 맞구나  
"어제 블라인드 시사회로 봤는데... 스토리가 개연성이 없어요전혀 공감되지 않는 내용, 지루함, 허무한 결말삼박자가 고루 갖춰진 영화에요  "
개봉전 평점: 7.17
전체 댓글수: 6
