0
애니메이션<파리의 도둑고양이>를 다운 받았는데 영상이 시작하자마자 끊겨서 보기 힘들어요. 어디에 문의를 해야 할지 모르겠습니다. 다운로드 만료 기한이 아직 남아있는데요. 답변 부탁드립니다.  
아름다운 영상  
애니영화의 또다른 진수를 봤다!!  
alsdnr2982 // 님의 평점이 더 허접합니다..ㅎㅎ  
포스터가 심하게 허접함...  
"극장개봉 꼭 했으면 좋겠네.. 너무 보고 싶은데,,  "
개봉전 평점: 6.17
전체 댓글수: 6
