0
평점들보니 왠지 엄청 지루할 것 같다  
진짜 무료한 일상에서 뭔가 도전할 수 있는 용기가 부럽네요ㅠㅠ  
중년이여 야망을 가져라~~~  
개봉전 평점: 8.00
전체 댓글수: 3
