0
기대해보겠으여~ㅋ  
오직 아쉬운것은 직접 뮤지컬을 못보고 실황중계라는 사실  
멋진 록밴드의 라이브 음악에 소름끼치는 가창력의 배우들과 앙상블 그리고 무대...최고!!!  
저 교회싫어하는데도 이공연너무감동적이고 재미있게봤어요 가사대로 예수에게 묻고싶네요 당신이그분맞는지...  
아레나 공연버전은 정말 말이 안 나올  정도로 대단한 공연 입니다. 시대상에 따라 더 업그레이드된 배경이 끝내줍니다  
대박이에요 연기력 쩔어요!  
꼭 보세요! 다른 킬링타임영화와 다르게 느낀점이 많습니다.  
유다역이나 다른 사람들의 노래는 정말 대단하였네요락 벤드의 음악도 정말 좋았구요현장에 있는 관객과 함께 함성을 지르고 손뼉을 치고 싶을 정도로요 ^^성경과 부분부분 좀 다른 면이 있어서 아쉬었네요  
배역들의 우수한 성량에만 몰입이 가능한 영화  
앤드류 로이드 웨버의 작품 !! 정말 이 작품 넘넘 보고싶었어요 !! 음악이 너무 기대됩니다.  
영화편이 어떨지 궁금하네요!  
개봉전 평점: 8.91
전체 댓글수: 11
