0
당신의 눈동자에 건배를  
뭔 앵그리버드타령이야 ㅡㅡ 나도 개인적으로 불륜녀고 별 잘못 못 느끼는거같아 싫긴한데 그걸 떠나 '영화인'으론 영화사에 큰 발자취 남긴사람인데..하여간 영알못들..영화 좀만 좋아하면 잉그리드 버그만은 기본상식 아닌가?  
역대 가장 아름답고 신비한 이미지를 발했던 배우에 대한 다큐라. 너무 기대됩니다.  
영화 제목만보고 앵그리버드인줄알았다  
제목 앵그리 버드로 본 사람 나밖에 없나?  
니보다 영화 많이봤을거같은데 상식아닌데? 아는척 지리구요 ㄷㄷ  
개봉전 평점: 9.00
전체 댓글수: 6
