0
재난영화에서 뭘 기대해야하나. cg? 스토리? 배우? 난 잘 모르겠다  
솔직히 재난영화는 거기서 거기  
재난영화군 볼만하겟는데요  
개봉전 평점: 5.33
전체 댓글수: 3
