0
평점을 갈구하는듯한 여배우에 표정을 보고 그냥지나칠숰? 없네요  
애쏠이 뭐임 그냥 애스홀이라고 하면되자나ㅋㅋㅋㅋ  
음~~예술이라쓰고 포르노라읽는 김치양산형영화또나오는구만  
개봉전 평점: 4.33
전체 댓글수: 3
