0
쓰레기에 관심을 주나여?  
샤이니보러 꼭 갈꺼에연ㅎㅎ  
아이엠봤을때도 샤이니를보러갔지만ㅜㅠ이젠 케이팝의 대단함을 감상하러갑니다ㅜ  
이걸 볼 바엔 컴터질이나 더하겠다;물론 광팬이라면 보겠지만  
관심없어요  
샤이니ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ  
안녕하세요 빛나는 샤이니입니다♥에프엑스♥  
SHINee 보고싶다 ㅠㅠ  
샤이니보러 꼭 갑니다ㅋㅋㅋㅋㅋ  
SHINee♡  
보고싶어요 보여주세용!~  
샤이니오빠둘보고싶어ㅜ  
보고싶다!!!!!  
너무너무 보고싶어요 관심집중ㅋㅋ  
짱 보고싶어요 ㅠㅠㅠ  
보고싶어요!!  
개봉전 평점: 0.00
전체 댓글수: 16
