0
태우가 화끈해서 좋다. 어정쩡하게 벗는 배우보다 훨 낫다.  
대체 언제 개봉함? 5년 전에 찍은 것 같은데  
세 여자의 짜릿하고 발칙한 일탈    참 리얼하고 경쾌하다  
개봉전 평점: 6.67
전체 댓글수: 3
