0
짱 잼있어보인다화이팅입니다  
아이들이 좋아할서 같네요.  
90's 미국 애니메이션을 한국 감독님께서 만들었다는것 자체가 대단하고 경의로운 일이다!!  
옛날이었다면 먹혔을 캐릭터들이지만 글세요.  
개봉전 평점: 9.00
전체 댓글수: 4
