0
표지 줄리안 무어인줄..  
이 시대의 4:3 마스터 파벨 포리코브스키.  
가장 냉랭하고 거친 시대에도 클래식으로 진화하는 민요처럼 끈질기게 살아남는 예술과 사랑의 힘  
이 영화는 무조건 개봉 당일 본다 꼭 제발 2월 1일 이쯤에 개봉해 주십시오 제발!!!  
사랑 그 자체인 영화! 여운이 엄청나다  
낚였다.... 마약왕 급  
개봉전 평점: 7.83
전체 댓글수: 6
