0
2016년작 이제 개봉 ㅋㅋㅋㅋ  
태극기 휘날리며 ~~~~  
예고편부터가 ㄷㄷㄷㄷ  
영화  어떨지 궁금합니다~~  
개봉전 평점: 3.25
전체 댓글수: 4
