0
자비에르의 수트입은 모습♥♥  
나이스 오랜만에 재밌는 영화... 전체적인과 세세한 재미를 더하네요 강추  
재밌을 거 같고 자비에르도 잘생겼다. 눈호강 하겠다.ㅎㅎㅎㅎ 요즘 역린이나 표적이나 스파이더맨 등 다 재미없다는 영화들만 스크린 독점 중이라 볼 게 없었는데 이거 나오면 꼭 봐야지. 기대기대기대중^^ 제발 많은 영화관에서 상영해주길...  
좀 억지스러운 유머가 있는 것 같다. 몰입도 잘 안되고...  
개봉전 평점: 8.75
전체 댓글수: 4
