0
정 말 재미날것 같아서 기대됩니다  
기대되요  컨저링같은류?  
페이크 다큐면? 보고 싶지도 않다. 극 영화이길!  
아따 뭐가 중헌디 머가 중허녀고 ?  
평점을 정리하러왔습니다.  
개봉전 평점: 7.20
전체 댓글수: 5
