0
코미디인데 지루한 흐름  
무슨 신념이든 강요하지 말지어다  
애국하기 참 어려운 현실  
볼만하긴 했지만 중반 이후 전개가 너무 억지스러웠다.  
개봉전 평점: 5.00
전체 댓글수: 4
