0
거의 일본급..재밌네요..  
싸구려국산보다  일본산  인물이나 스토리탄탄하네 !!!  
역시 일본 보험 클라스!  
내가 좋아하는 기획물 컨셉!!  
성진국의 보험영업 클라스  
실비 드세요 미리미리 아프기전에  
개봉전 평점: 9.33
전체 댓글수: 6
