0
10점 알밥 천국들 인가. 뭐신선함이 하나 없네  
김나은은 왜 전면에 나서지 않는가  
비주얼과 연기로서는 정말역대 최고임. 실제같았음 ㅋㅋ  
20대중반 젊은여배우 캐스팅많이도 어려운가봐  시들시들한 할매꽃 꾸준히 나오는거보면  
"진시아, 베드신 연기~진짜 같아~  "
배우들이 실제 사귀는 연인처럼 느끼듯 연기하는구나.. 신들린 연기야  
진짜 연기 쩌는듯 ㅋㅋㅋ 성인영화인데도 감칠맛 나네요 ㅋㅋ  
개봉전 평점: 6.71
전체 댓글수: 7
