0
난 이게 왜이렇게 기대될까...  
간만에 극장에 가서 볼만한 영화가 나온 것 같다. 첫날 가서 볼거임.  
인생은 나쁘지 않다!!!  
정말 개봉하냐....?  
이걸 볼 사람이 있나??  
포스터 보니까 노잼 막장 일것같다  
개봉전 평점: 5.83
전체 댓글수: 6
