0
플롯이 무슨 럭비공 마냥 튀는지... 포스트는 영화내용이랑 전혀 관련 없어보이고.  
존망한 영화입니다. R I P  
E.T가 더 무서울것 같네요  
스토리는 재미있어 보이는데..  실제로는.??  
개봉전 평점: 3.75
전체 댓글수: 4
