0
그러게요.. 뭐이리 감독이 많은지..  
감독이 왜이리 많지?..  
"오늘 저녁은 동키치킨 ..,.  "
아주 재미있습니다!ㅋㅋㅋ  
명작은 영원 불멸하고 언제 어떤 형태로 봐도 재밌다.  
개봉전 평점: 9.60
전체 댓글수: 5
