0
엠마톰슨님이 나오는 영화다... 보고 싶다...  
주연보니 기대됩니다 10자  
울 피어스형님 코미디영화를 ^^ 잼있겠네요~~  
간만에 제대로 된 로맨틱 코미디인듯ㅋㅋ기대해봅니다!  
왜  개봉을 이제서야 하는지 알거같은...  
개봉전 평점: 9.40
전체 댓글수: 5
