0
"부천영화제에서 봤는데 정말, 재미있었습니다.후기작 시리즈로 또 만드신다는데 기대돼네요. 김기범 감독님 화이팅!  "
^^ 후반부로 치달을 수록  숨쉴 수  없는  순수 병맛 센스들이 이 영화의 감독을  만나보고 싶다는  생각이 간절해지게 만들었습니다♡  
완전 기발하고 독특했음  
개봉전 평점: 9.33
전체 댓글수: 3
