0
독일에서유명한애니메이션!!!!  
순수한 그림체가 끌리내요~ 교훈과 감동이 있을것 같아요~  
6월 개봉하면 보러가야 겠네요~~  
꼬마기사 트랭크... 드래곤볼이냐?  
요즘도이런게 나오네. . .  
개봉전 평점: 6.60
전체 댓글수: 5
