0
작년 부국제에서 봤었는데 엄청 공감하면서 재밌게 봤어요!! 개봉하면 한 번 더 보러 가야겠어요~~  
부국제에서 봤습니다. 짧은 상영시간이지만 몰입감은 최고였던.. 선희가 슬기가 될 수 밖에 없었던 이유를 생각하게 하면서 마음이 씁쓸하기도 한 그런 영화였네요 . 우리들의 청소년판? 이라는 생각도 들었어요 재밌게 잘봤습니다  
"주말 TV 영화프로에서 잠깐 소개해주는 것을 봤는데, 이야기가 참신하고 몰입감이 있어 인상적이었습니다. 배우들의 연기나 모습이 자연스러움이 느껴져서 좋았고요. 기회가 되면 보고 싶네요. 모두 수고하셨습니다.  "
부국제에서 처음 보고 잊을 수 없었던 작품  
개봉만 기다리고 있습니다!  
생각보다 충격적이고 극단적인 소재인데. 섬세한 연출로 인해 이 아이에게 깊게 공감하고 몰입하게 된다.  
개봉전 평점: 9.83
전체 댓글수: 6
