0
속옷부터 모자이크를 처리하는 밥맛떨어짐  
세희가 나온다...그냥 봐  
씁쓸한 현실이군영...ㅜㅜ....  
제약이 심해서 더 별로가 되어 버린 현실.  
개봉전 평점: 4.25
전체 댓글수: 4
