0
진주누나 잘보고가요 ㅎㅎ  
밀애 아내의 여동생 영화와 장소 배우도 똑같이 내용만 살짝 다르게 해서 나옴  영화를 만들려는 최소한의 노력조차 없어보인다 배우들이 좋아서 2점줌  
남자인지여자인지솔직히구분이안가네요 턱이  
쎈데 왜 이리 악평이 많지.. 요즘 성인영화 모두 하향평준화 된 거 같긴 함  
역시 진주는 진리다!~~  
개봉전 평점: 6.40
전체 댓글수: 5
