0
아이디어부터 구현까지 귀엽지그지없다 나름 험악한? 양말 먹보계의 싸움도 있지만 사랑스러운 그들의 존재!!  
"가족의 소중함, 그리고 욕심에 대한 우화  "
아가들만 보는 영화인줄 알았는데~ 초등4학년 아들이 너무 재밌다고 깔깔 웃으며 보더라구요.진짜로 양말이 없어지는 비밀을 알았다며.. ㅋㅋ  
보고싶어요 !!! :)  
양말 한짝이 없어지는 일이 자주 있는데 그 걸 다룬 영화인가보네요~ ㅎㅎ 재미있어 보여요!!  
오~~양말케릭터 헉~ 새로움 ㅋㅋ  
오늘도 어김없이 찾아나서는 양말 한짝은 도대체 어디로 갔는가?!~  
개봉전 평점: 9.43
전체 댓글수: 7
