0
여자 이쁜거빼고 볼게없다 ㅋ여자땜에 5점준다 ㅎ  
"특수부대원 로니는 4년전 헤어진 연인 네하에게 납치된 딸을 찾아달란 부탁을 받는다. 알고보니 불임인 남편이 자신의 딸이 아님을 알자 죽이려던 것인데, 부패경찰 서장이 납치된 아이를 가로채 남편 운송회사로 밀수를 하고있었다. 사실 아이는 로니의 딸이었다  "
그래도 발리우드의 맛은 있네  
"슬로우모션에 cg티. 팍팍~~^^ 개봉못한 이유가 있음,ㅋ  "
이거도 영화냐?  인도 영화 수준은 진짜 ㅋㅋㅋ  
여주도 이쁘고 새로운 액션 볼만한데? 근데 여주를 왜?  
이 영화  대박이네 마지막 반전  
여자주인공이 이뻐 그래서10점  
킬링타임용으로 볼만했고 미국물 많이먹어서 그렇게 촌스럽지도 않았다  
액션은 간지가 나야 하는데 미안하지만 인도라 간지가 안남.  
네이마르의 액션이 폭팔한다.  
이런건 10점이지 !!!!  
액션이  엄청날 거 같아!!!ㅋㅋ  
뭔가  재밌을 것 같아ㅋㅋㅋ  
저 오빠 몸 장난 없는데?  
개봉전 평점: 7.20
전체 댓글수: 15
