0
작년에 우연히 보게 되어 인생 영화가 된 작품이 오스카 수상이라니. 개봉하면 많은 분들이 꼭 보셨으면 좋겠습니다.  
사랑하는 사람을 떠나보내는 일조차 남들처럼 못하는 그녀에게 노래 한 곡 들려주고 싶네  
메타크리틱 94점개봉하면 보러가야지  
"누구에게나 벌어질 수 있는 일이 어떤 특정한 이에게 벌어진 일로 인해 그녀의 일상을 조용히 따라가며 지켜보는, 영화이면서도 다큐멘터리 같은 분위기  "
이번 아카데미시상식 외국어영화상을 받은 영화라 일부러 극장 기획전을 통해 봤는데 올해 본 영화중에 최고네요. 그녀를 응원합니다!  
그녀가 판타스틱하게 빛날 수 있는 삶을 살기를.  
개봉전 평점: 9.17
전체 댓글수: 6
