0
ㅋㅋㅋㅋㅋㅋㅋ 그져 웃지요  
무슨영화임?  
4등이네 무조건 신고!!!!!!!!!!!!!!  
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ3등이네  
2등  
에이 설마 내가 ㅋㅋㅋㅋ 일 ㅋㅋㅋ일 ㅋㅋㅋㅋ일등 ㅋ좋다 ㅋㅋㅋ  
개봉전 평점: 5.50
전체 댓글수: 6
