0
저기 왜 우리집 강아지가 있지..?  
보고싶은데 왜 개봉을 안해..  
귀엽다ㅜㅜ 보고싶다!!  
어른은 모르겠지만 7세아들 완전 좋아하네요.. 재미있다고 몇번을 봄  
강아지 왈왈~ 보고싶넹 ㅋ  
강아지가 직접 주연 맡는다니깐 더 기대되네요^^ 넘 귀여울거 같고 크리스마스랑 어울려서 더 궁금  
오...! 재밌겠다.  
6살 딸아이랑 볼려는데  자막이 들어있겠죠?  더빙영화를봐야 잼있어할텐데..  
포스터에 낚이지 말자. 그냥 강아지 세마리.  
너무 귀엽고 재미있어요^^  
노노 낚임 완전히!!  
개봉전 평점: 8.64
전체 댓글수: 11
