0
포스터속 여주인공의 뒤태가...숨막히네.ㅋㅋㅋ  
겁나 비밀스럽다...  
와 나나우미 나나 짱 섹시 하다...  
캬.. 대박..ㅎㅎ ㄷㄷ  
개봉전 평점: 10.0
전체 댓글수: 4
