0
이거 나오긴 나옴????  
좀비가 좀 우리가 알고 있던 좀비랑 달라요. 막 무기들을 들고 있던데....그래도 재밌을 것 같음  
이 영화 왜안나옴 나오긴한건지...  
개봉전 평점: 7.00
전체 댓글수: 3
