0
출연하는 배우마다  흉터없는 각도 찍어봐자 티많이나거든 처음부터 수술 하지말던가 ㅋㅋ  
가정부 앵그리버드인줄 ㅋㅋㅋㅋ  
네 여러분 믿고 거르는 이전 감독입니다. 거르세요~  
난 네가 좋다!  작품만 많이 찍어다오~  
악녀 각선미 쩌네ㅎㅎㅎ  
개봉전 평점: 4.00
전체 댓글수: 5
