0
풋!..... 아~~~~~  잉?.........END?  음.....................................  
평점 8.33짜리 영화는 아니다.. 7.5정도??  몰입감과 상상력이 좋았다. 그러나 좀 씬이 몇개 없는듯한 느낌을 받는다. 단조롭다  
포스터 글씨랑 배우들 얼굴크기봐 ㅋㅋ 그림판으로 쓴듯 ㅋㅋ  
4년전쯤보고 빡쳤는데  포스터만봐도 빡치네  
발연기에 내용도 구리고 더럽게 재미없음  
밑에 10점 주신분들은 나만 당할수없다 다른사람도 봐야한다 이런건가~~ 솔직히 10점은 아니고 7점대가 적당합니다~ 내용이 짜임새있진 않지만 볼만은 합니다~ 비기닝이라 이런식으로 흘러갈꺼다라고 초반형식을 보여준거라 그럴순있지만 나름 발상은 참신합니다~  
영화의 분위기는 좋았지만 디테일하게는 보완해야 할 점이 있다.  
인심써서 두개 드립니다언젠간 재밌어지겠지 하다가 시간 낭비함ㅡㅡ  
알바들이 평점올렷네요 정말비추입니다  
"화려한 CG, 내용도 참 좋네요..추천합니다..즐감하시길  "
오 기대 안하고 다운 받아봤는데 진짜 재밌네 ㅎㅎㅎㅎ  
sf는 우선 10만점  
개봉전 평점: 5.50
전체 댓글수: 12
