0
포토에나오는여배우사진만봐도이미영화다본거같네요  
지혜씨 엑기스  예고편 전부네요 나머지 볼만하지 않네요 ...  
마지막 결과가 조금 웃김  
우윳빛깔 유설영도 나오네~  
개봉전 평점: 3.75
전체 댓글수: 4
