0
20세기초 여성예술가들의 삶에 대한 영화라니 기대됩니다.  
감동있는  영화  잘 보았습니다. 만드신 분들의 수고로움에 감사드립니다.  
의미가 있는 작품이라 많은 분들과 만날 수 있었으면 좋겠습니다.  
다큐멘터리 기생 기대됩니다.  
저희 교수님이 제작하신건데 기대되는 작품입니다!  
"감동과 의미가 있는 다큐멘터리 영화였습니다 마지막에 장금도 선생님의 춤추는 모습을 보며 가슴이 찡하더군요 영화 그 자체로 의미있는 영화, 많은 분들이 관람하셨음 하는 바램이 있네요  "
좋은 의미를 담은 영화라 정말 기대됩니다. 얼른 보고싶네요.  
개봉전 평점: 10.0
전체 댓글수: 7
