0
서방님 오늘  이거 보지 말고 샤크스톰도 보지 말고 비긴어게인이나 보러 가요  
샤크스톰 만든감독임 이거망함  
작년에 봤던영화.. 최악!!  
이미 헨젤과 그레텔은 위치헌터로 정점을 찍었다.제발 이따위 B급 영화 졸작들로 명작의 명성을 동명으로 흠집내지말아라.  
♥♥♥로미오와 줄리엣♥♥♥  
db 저장용 db 저장용  
개봉전 평점: 1.33
전체 댓글수: 6
