0
"오멸 감독님 영화답게 제주의 이야기와 풍경은 잘 담겼지만, 이야기 구성은 약간 엉성한 느낌...  "
12세 관람가면... 말할거 없지.  
부산국제영화제에서 꼭 볼게요!  
개봉전 평점: 6.67
전체 댓글수: 3
