0
혹시나 퀴어영화에 거부감이 있는 여자들도 정말 편안하게 볼수 있는 영화였다. 이번 서울프라이드영화제에서 보고 왔는데  제일 인상깊은 영화라 할 정도로  자꾸 생각난다. 특히나 영화 속 태경의 바다씬은 ..아직도 머릿속에서 잊혀지지가않고  너무 슬펐다.  
"사랑,죽음에 대한 의미를 다시 한 번 깊게 새길 수 있도록 만들어준 멋진영화!  흥하시길 바랍니다~~!!!!  "
사랑과 죽음을 담담하고 아련하게 담아낸 영화  
사랑은 감정을 숨긴다고  안 보이는 것이 아니다...누군가를 사랑하면 심장이 먼저 뛴다.  열대야는 내게  첫사랑 같은 영화다.  
"1년마다 꾸준히 영화 내주시는 감독님께 감사하고 ,  뭔가 주인공에  이입되어 사랑 그리고 죽음에 대해 다시 한번 생각 해 볼 수 있는 좋은 영화 였습니다. 보기전에 기대 했지만 기대 이상의 영화 입니다.  내년 영화도 기대하겠습니다.  "
이국적인 나라라서 신선했다.  
그들의 사랑이 너무 아련하다....  
동성애에 거부감이 있다기보단 퀴어무비 이제 좀 그만.. 지겹다.  
"억지와 부실한 스토리가 만난, 로케이션에 쓴 비용마저 아까운 영화  "
개봉전 평점: 7.22
전체 댓글수: 9
