0
난 이런 액션영화가 좋다. 모든 영화가 다 심오하고 감동이 있을 필요는 없다. 재밌고 통쾌하면 그걸로 충분히 좋다!  
전편과 달리 액션조차 건질게 없는 쓰레기. 지자 야닌 봐서 2점은 주마  
개그코드가 일본보다 미국에 가까운거 같다.. 그리고 내용이.. 이걸 돈내고봤으면 진짜 후회  
"왠만하면 5점이하 안주는데 예전 초콜릿 기대하고 봤는데 실망함.스토리 꽝, 액션 꽝, 거의 모든면에서 많이 부족함 여주인공 때문에 끝까지 봤음. 시간 아까움,,,,정말루...  "
너무 많은걸 기대한듯.. 어색한 연기력에 소름이돋는다.가장 기대했던 액션은씬은 정말 민패수준  
"진짜 지자야닌 빼고 완전 전부 퍼펙트하게 쓰레기 영화...-.-; 이걸 돈내고 본다는 자체가 미친거..-,.-;; 진짜 해도 너무한 영화..-,.-;  "
지자야닌 시컷볼수있어서 너무행복하다 애교 넘친다 사랑한다!!!! 난 너의 팬이야! 영화도 잼있음!!  
지자야닌 보려고 봤어요... 1은 블루레이 살 생각인데...  음~  
스토리 별로다. 주인공 지자야닌에관한스토리보다 너무 액션에만 집중되있는게 아쉽다.. 지자야닌봐서 10점준다 나머진 국물도없음  
"일단 지쟈야닌이라는 배우 때문에 2점을 주기는 하였으나, 스토리도 엉성하며 액션신도 매우 엉성함. 옹박4 초콜렛이라는 영화의 액션신에 비해 속도감도 느리고 액션의 못습 또한 현저히 떨어짐. 조연들의 모습 또한 극과는 너무 어울리지 않음.  "
일본에만 있는 줄 알았던 병맛개그가 태국에도;;ㅋ ㅋ 좀 웃긴데... 오바스럽기도 하고;;ㅋ ㅋ 액션이 좀 약했다 근데;;  
10점추가  
여배우 윤아 닮았네.  
1편과 똑같이..액션빼고 볼꺼없다..  
지쟈야닌이나오니깡 일단은 ..  
개봉전 평점: 6.33
전체 댓글수: 15
