0
오마사이님이 나오신 영화임 보삼  
요즘 프랑스 한국개봉영화는 오마사이가 꼭있네 ㅋㅋ  
별볼일없게 생김 ....  
개봉전 평점: 7.00
전체 댓글수: 3
