0
밀라 쿠니스 왜 한국에서 안뜨냐 너무 예쁘고 좋은데 진짜..  
여려분! 같이 상영하는 망작 캡틴마블을 보지 마시고 이영화를 보세요.  
파라마운트 애니메이션의 첫 오리지날 애니메이션. 꼭 성공하길 기원합니다.  
많이 기대하겠습니다. 야혹  
감독은 성추행범에 애니메이션은 폭망작...  
개봉전 평점: 8.20
전체 댓글수: 5
