0
단물빠진 이채담이나  발연기끝판왕에 얼굴폭탄 도모세  성인영화배우 적합하지않아 ...  
집안외가친척이에로영화다작한거알고계신가봐요계속출연하는거보니 개방적인집안에서밀어주는건가요아님도저히포기를한것인가요?  
비주얼이 다 남자상인데 여자 나오긴하냐? 비타민나무액함유(kiwh****)   2018.07.04 03:54 신고  
교회에서도 하다가 옆집에서도 하고 회사에서도 하고 아들이랑도 하고 등산갔다가 하고 부럽다 부러워~  
채담이는 레전드다.. 너무 자주 나오는게 문제지만 연기는 참 잘해~~  
믿고 보는 이채담!!~  
개봉전 평점: 6.17
전체 댓글수: 6
