0
영화가 진행되면서 발생하는 여러개의 플롯들은 그냥 모호하고 희미하게 마무리되기만 할 뿐이다. 마치 보다보면 뭔가 있을 법도 한데도 보면 볼수록 파악이 난해해져만 가는 프랑스전위예술영화 같은 느낌적인 느낌이다.  
포트만의 겸손한 가슴이 돋보인 영화  
나탈리의 출연이 아쉽다.  
너무나 기대되는 배우들!!  
판타지 미스터리. 기대 됩니다.  
개봉전 평점: 7.80
전체 댓글수: 5
