0
"일본 여성인권에 대해 다룬 것 같지만, 문화차이로 정확히 알 수는 없다. 반은 느껴지고 반은...으음..?  "
이거 어서어서 국내 배급 해주세요!!ㅜㅜㅜㅜ  
"전주영화제에서 봤는데 저는 정말 좋았어요! 노골적인 듯 싶지만 우리가 항상 겪어오는 차별적인 언행들이 연출되고, 잔잔하고 우울하지만 쾌활한 영화였습니다. 너무 진지하거나 무겁게 그리지 않아서 편하게 볼 수 있어서 추천합니다. 아오이유우 핵이쁨..  "
우아한 생활의 최고의 복수다.  
좋은 의도가 좋은 결과를 낳는 건 아니지. 그나저나 이 영화의 평점란까지도 여배우에 대한 평가...  
"참신한 발상, 빈약한 연출, 급급한 스타일.  "
전주국제영화제에서 봤는데 정말 재미 없었음  
이건 뭐 만들다 만 것 같다  
그래서 뭐 어쩌라고? 스토리라고 할게 없음 내용 개.빙 신가틈... 근데 이제보니 아오이 유유도 늙는구나  
아오이 유우도 예전에 비하면 많이 늙었구나..그래도 이쁘긴 함. 그리고 요즘 일본영화는 애초에 기대를 안하기 때문에 실망 하지도 않았음  
그래서 뭘 말하려고자 하는건지... 내 시간 2시간. 여배우는 살짝 노처녀 느낌도 나는데(영화에서도 그런 배역) 화장도 거의 안하고 수수한게 매력임.  
메시지도 내용도 흐리멍텅  
대박 재밋습니다 ~~~  
개봉전 평점: 5.54
전체 댓글수: 13
